op name, kernel name, exec duration (ms), global size, local size, output size
cache_v_l2 (view) (view) (view),kernel_set_rows_f16_i64,0.122880,1024x64x1,1x64x1,1x4194304x1x1
attn_out-2,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,4096x125x1x1
attn_out-2,kernel_mul_mat_Ab_Bi_8x4,2.227968,16x1024x4,1x32x4,4096x125x1x1
ffn_inp-2,kernel_add,0.084992,8000x1x1,64x1x1,4096x125x1x1
ffn_norm-2,kernel_rms_norm_mul,0.056064,128000x1x1,1024x1x1,4096x125x1x1
ffn_gate-2,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,14336x125x1x1
ffn_gate-2,kernel_mul_mat_Ab_Bi_8x4,7.801088,16x3584x4,1x32x4,14336x125x1x1
ffn_up-2,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,14336x125x1x1
ffn_up-2,kernel_mul_mat_Ab_Bi_8x4,7.730944,16x3584x4,1x32x4,14336x125x1x1
ffn_swiglu-2,kernel_swiglu,0.325120,64000x1x1,512x1x1,14336x125x1x1
ffn_out-2,kernel_transpose_32_16,0.248832,14336x32x0,16x1x0,4096x125x1x1
ffn_out-2,kernel_mul_mat_Ab_Bi_8x4,10.119168,16x1024x4,1x32x4,4096x125x1x1
l_out-2,kernel_add,0.086016,8000x1x1,64x1x1,4096x125x1x1
attn_norm-3,kernel_rms_norm_mul,0.055040,128000x1x1,1024x1x1,4096x125x1x1
Qcur-3,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,4096x125x1x1
Qcur-3,kernel_mul_mat_Ab_Bi_8x4,2.233088,16x1024x4,1x32x4,4096x125x1x1
Qcur-3,kernel_rope_norm_f32,0.059904,2048x125x1,64x1x1,128x32x125x1
Vcur-3,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Vcur-3,kernel_mul_mat_Ab_Bi_8x4,0.615168,16x256x4,1x32x4,1024x125x1x1
Kcur-3,kernel_transpose_32_16,0.072192,4096x32x0,16x1x0,1024x125x1x1
Kcur-3,kernel_mul_mat_Ab_Bi_8x4,0.605952,16x256x4,1x32x4,1024x125x1x1
Kcur-3,kernel_rope_norm_f32,0.012032,512x125x1,64x1x1,128x8x125x1
cache_k_l3 (view),kernel_set_rows_f16_i64,0.017152,128000x1x1,1024x1x1,1024x4096x1x1
cache_v_l3 (reshaped) (view),kernel_set_rows_f16_i64,0.243968,2000x64x1,1x64x1,1x4194304x1x1
node_233,mul_mm_f16_f32_kq,0.265984,64x4x128,64x1x2,256x125x32x1
kq_soft_max-3,kernel_soft_max_4,0.104960,8000x32x1,64x1x1,256x125x32x1
snapkv_kqv-3,mul_mm_f16_f32_kqv,0.313856,64x2x128,64x1x2,128x125x32x1
kqv_out-3,kernel_cpy_f32_f32,0.041984,2048x125x1,64x1x1,4096x125x1x1
kq_soft_max-3 (view) (view) (permuted) (cont),kernel_cpy_f32_f32,0.033024,1744x32x1,16x1x1,16x109x32x1
snapkv_importance-3,kernel_sum_rows_f32,0.008960,109x32x1,64x1x1,1x109x32x1
snapkv_importance-3 (reshaped) (reshaped) (permuted) (cont),kernel_cpy_f32_f32,0.008960,436x8x1,4x1x1,4x109x8x1
snapkv_imp_kv-3,kernel_sum_rows_f32,0.002048,109x8x1,64x1x1,1x109x8x1
node_250,kernel_argsort_f32_i32,0.015104,128x8x1,128x1x1,109x8x1x1
node_252,kernel_get_rows_f16,0.005888,3072x8x1,64x1x1,128x48x8x1
cache_k_l3 (view) (permuted) (view) (copy),kernel_cpy_f16_f32,0.003072,1024x8x1,64x1x1,128x16x8x1
snapkv_K_packed-3,kernel_concat_f32_contiguous,0.004864,128x64x8,0x0x0,128x64x8x1
cache_k_l3 (view) (permuted) (view),kernel_set_rows_f16_i64,0.008960,8192x8x1,128x1x1,128x256x8x1
node_262,kernel_get_rows_f32,0.006912,3072x8x1,64x1x1,128x48x8x1
snapkv_V_packed-3,kernel_concat_f32_non_contiguous,0.115968,64x8x1,0x0x0,128x64x8x1
snapkv_V_packed-3 (permuted) (cont),kernel_cpy_f32_f32,0.007168,512x64x1,64x1x1,128x8x64x1
cache_v_l3 (view) (view) (view),kernel_set_rows_f16_i64,0.122880,1024x64x1,1x64x1,1x4194304x1x1
attn_out-3,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,4096x125x1x1
attn_out-3,kernel_mul_mat_Ab_Bi_8x4,2.217984,16x1024x4,1x32x4,4096x125x1x1
ffn_inp-3,kernel_add,0.082176,8000x1x1,64x1x1,4096x125x1x1
ffn_norm-3,kernel_rms_norm_mul,0.054016,128000x1x1,1024x1x1,4096x125x1x1
ffn_gate-3,kernel_transpose_32_16,0.072192,4096x32x0,16x1x0,14336x125x1x1
ffn_gate-3,kernel_mul_mat_Ab_Bi_8x4,7.769088,16x3584x4,1x32x4,14336x125x1x1
ffn_up-3,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,14336x125x1x1
ffn_up-3,kernel_mul_mat_Ab_Bi_8x4,7.714048,16x3584x4,1x32x4,14336x125x1x1
ffn_swiglu-3,kernel_swiglu,0.334080,64000x1x1,512x1x1,14336x125x1x1
ffn_out-3,kernel_transpose_32_16,0.248064,14336x32x0,16x1x0,4096x125x1x1
ffn_out-3,kernel_mul_mat_Ab_Bi_8x4,7.920128,16x1024x4,1x32x4,4096x125x1x1
l_out-3,kernel_add,0.084992,8000x1x1,64x1x1,4096x125x1x1
attn_norm-4,kernel_rms_norm_mul,0.055040,128000x1x1,1024x1x1,4096x125x1x1
Qcur-4,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,4096x125x1x1
Qcur-4,kernel_mul_mat_Ab_Bi_8x4,2.220032,16x1024x4,1x32x4,4096x125x1x1
Qcur-4,kernel_rope_norm_f32,0.058112,2048x125x1,64x1x1,128x32x125x1
Vcur-4,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Vcur-4,kernel_mul_mat_Ab_Bi_8x4,0.605952,16x256x4,1x32x4,1024x125x1x1
Kcur-4,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Kcur-4,kernel_mul_mat_Ab_Bi_8x4,0.605952,16x256x4,1x32x4,1024x125x1x1
Kcur-4,kernel_rope_norm_f32,0.012032,512x125x1,64x1x1,128x8x125x1
cache_k_l4 (view),kernel_set_rows_f16_i64,0.017920,128000x1x1,1024x1x1,1024x4096x1x1
cache_v_l4 (reshaped) (view),kernel_set_rows_f16_i64,0.241920,2000x64x1,1x64x1,1x4194304x1x1
node_303,mul_mm_f16_f32_kq,0.265984,64x4x128,64x1x2,256x125x32x1
kq_soft_max-4,kernel_soft_max_4,0.104960,8000x32x1,64x1x1,256x125x32x1
snapkv_kqv-4,mul_mm_f16_f32_kqv,0.331008,64x2x128,64x1x2,128x125x32x1
kqv_out-4,kernel_cpy_f32_f32,0.043008,2048x125x1,64x1x1,4096x125x1x1
kq_soft_max-4 (view) (view) (permuted) (cont),kernel_cpy_f32_f32,0.032000,1744x32x1,16x1x1,16x109x32x1
snapkv_importance-4,kernel_sum_rows_f32,0.008960,109x32x1,64x1x1,1x109x32x1
snapkv_importance-4 (reshaped) (reshaped) (permuted) (cont),kernel_cpy_f32_f32,0.008960,436x8x1,4x1x1,4x109x8x1
snapkv_imp_kv-4,kernel_sum_rows_f32,0.002048,109x8x1,64x1x1,1x109x8x1
node_320,kernel_argsort_f32_i32,0.014848,128x8x1,128x1x1,109x8x1x1
node_322,kernel_get_rows_f16,0.006144,3072x8x1,64x1x1,128x48x8x1
cache_k_l4 (view) (permuted) (view) (copy),kernel_cpy_f16_f32,0.002816,1024x8x1,64x1x1,128x16x8x1
snapkv_K_packed-4,kernel_concat_f32_contiguous,0.005120,128x64x8,0x0x0,128x64x8x1
cache_k_l4 (view) (permuted) (view),kernel_set_rows_f16_i64,0.008960,8192x8x1,128x1x1,128x256x8x1
node_332,kernel_get_rows_f32,0.006912,3072x8x1,64x1x1,128x48x8x1
snapkv_V_packed-4,kernel_concat_f32_non_contiguous,0.115968,64x8x1,0x0x0,128x64x8x1
snapkv_V_packed-4 (permuted) (cont),kernel_cpy_f32_f32,0.007168,512x64x1,64x1x1,128x8x64x1
cache_v_l4 (view) (view) (view),kernel_set_rows_f16_i64,0.120832,1024x64x1,1x64x1,1x4194304x1x1
attn_out-4,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,4096x125x1x1
attn_out-4,kernel_mul_mat_Ab_Bi_8x4,2.214144,16x1024x4,1x32x4,4096x125x1x1
ffn_inp-4,kernel_add,0.080896,8000x1x1,64x1x1,4096x125x1x1
ffn_norm-4,kernel_rms_norm_mul,0.055040,128000x1x1,1024x1x1,4096x125x1x1
ffn_gate-4,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,14336x125x1x1
ffn_gate-4,kernel_mul_mat_Ab_Bi_8x4,7.773952,16x3584x4,1x32x4,14336x125x1x1
ffn_up-4,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,14336x125x1x1
ffn_up-4,kernel_mul_mat_Ab_Bi_8x4,7.851008,16x3584x4,1x32x4,14336x125x1x1
ffn_swiglu-4,kernel_swiglu,0.324096,64000x1x1,512x1x1,14336x125x1x1
ffn_out-4,kernel_transpose_32_16,0.247808,14336x32x0,16x1x0,4096x125x1x1
ffn_out-4,kernel_mul_mat_Ab_Bi_8x4,7.857152,16x1024x4,1x32x4,4096x125x1x1
l_out-4,kernel_add,0.086784,8000x1x1,64x1x1,4096x125x1x1
attn_norm-5,kernel_rms_norm_mul,0.056064,128000x1x1,1024x1x1,4096x125x1x1
Qcur-5,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,4096x125x1x1
Qcur-5,kernel_mul_mat_Ab_Bi_8x4,2.223104,16x1024x4,1x32x4,4096x125x1x1
Qcur-5,kernel_rope_norm_f32,0.057856,2048x125x1,64x1x1,128x32x125x1
Vcur-5,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Vcur-5,kernel_mul_mat_Ab_Bi_8x4,0.611072,16x256x4,1x32x4,1024x125x1x1
Kcur-5,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Kcur-5,kernel_mul_mat_Ab_Bi_8x4,0.616960,16x256x4,1x32x4,1024x125x1x1
Kcur-5,kernel_rope_norm_f32,0.012032,512x125x1,64x1x1,128x8x125x1
cache_k_l5 (view),kernel_set_rows_f16_i64,0.015872,128000x1x1,1024x1x1,1024x4096x1x1
cache_v_l5 (reshaped) (view),kernel_set_rows_f16_i64,0.241920,2000x64x1,1x64x1,1x4194304x1x1
node_373,mul_mm_f16_f32_kq,0.263168,64x4x128,64x1x2,256x125x32x1
kq_soft_max-5,kernel_soft_max_4,0.103936,8000x32x1,64x1x1,256x125x32x1
snapkv_kqv-5,mul_mm_f16_f32_kqv,0.311040,64x2x128,64x1x2,128x125x32x1
kqv_out-5,kernel_cpy_f32_f32,0.039936,2048x125x1,64x1x1,4096x125x1x1
kq_soft_max-5 (view) (view) (permuted) (cont),kernel_cpy_f32_f32,0.033024,1744x32x1,16x1x1,16x109x32x1
snapkv_importance-5,kernel_sum_rows_f32,0.008960,109x32x1,64x1x1,1x109x32x1
snapkv_importance-5 (reshaped) (reshaped) (permuted) (cont),kernel_cpy_f32_f32,0.008960,436x8x1,4x1x1,4x109x8x1
snapkv_imp_kv-5,kernel_sum_rows_f32,0.002048,109x8x1,64x1x1,1x109x8x1
node_390,kernel_argsort_f32_i32,0.014848,128x8x1,128x1x1,109x8x1x1
node_392,kernel_get_rows_f16,0.005888,3072x8x1,64x1x1,128x48x8x1
cache_k_l5 (view) (permuted) (view) (copy),kernel_cpy_f16_f32,0.003072,1024x8x1,64x1x1,128x16x8x1
snapkv_K_packed-5,kernel_concat_f32_contiguous,0.005120,128x64x8,0x0x0,128x64x8x1
cache_k_l5 (view) (permuted) (view),kernel_set_rows_f16_i64,0.008192,8192x8x1,128x1x1,128x256x8x1
node_402,kernel_get_rows_f32,0.006912,3072x8x1,64x1x1,128x48x8x1
snapkv_V_packed-5,kernel_concat_f32_non_contiguous,0.115968,64x8x1,0x0x0,128x64x8x1
snapkv_V_packed-5 (permuted) (cont),kernel_cpy_f32_f32,0.006912,512x64x1,64x1x1,128x8x64x1
cache_v_l5 (view) (view) (view),kernel_set_rows_f16_i64,0.121088,1024x64x1,1x64x1,1x4194304x1x1
attn_out-5,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,4096x125x1x1
attn_out-5,kernel_mul_mat_Ab_Bi_8x4,2.232064,16x1024x4,1x32x4,4096x125x1x1
ffn_inp-5,kernel_add,0.081920,8000x1x1,64x1x1,4096x125x1x1
ffn_norm-5,kernel_rms_norm_mul,0.055040,128000x1x1,1024x1x1,4096x125x1x1
